Slug	EN	DE	PL	RU	NL	FR	CZ	UA	HR	GR	PT	TR	BG	HU	ES	IT	SR	RO
welcome_text	Sign up	Anmeldung	Logowanie	Вход	Aanmelding	Inscription	Registrace	Реєстрація	Prijava	Εγγραφή	Registar	Kaydol	Регистрация	Regisztráció	Registrarse	Registrati	Региструј се	Inscrie-te
email_address	Email address	E-Mail-Adresse	Adres e-mail	Адрес электронной почты	E-mailadres	Adresse e-mail	E-mailová adresa	Адреса ел. пошти	Adresa e-pošte	Διεύθυνση email	Endereço de e-mail	E-posta adresi	Имейл адрес	E-mail-cím	Dirección de correo electrónico	Indirizzo e-mail	Адреса e-поште	Adresa de e-mail
register_text	Please enter your email address:	Bitte geben Sie Ihre E-Mail-Adresse ein:	Wprowadź swój adres e-mail:	Введите ваш адрес электронной почты	Vul je e-mailadres in:	Veuillez saisir votre adresse e-mail :	Zadejte svou e-mailovou adresu:	Введіть адресу ел. пошти	Unesite adresu e-pošte:	Πληκτρολογήστε τη διεύθυνση email σας:	Introduza o seu endereço de e-mail:	Lütfen e-posta adresinizi girin:	Моля, въведете имейл адреса си:	Kérjük, adja meg az e-mail-címét:	Introduzca su dirección de correo electrónico:	Inserisci il tuo indirizzo e-mail:	Унесите своју адресу е-поште:	Te rugam sa introduci adresa ta de email:
select_language	Select Language	Wähle Sprache	Wybierz język	Выбрать язык	Taal kiezen	Sélectionnez une langue	Zvolte jazyk	Оберіть мову	Odaberite jezik	Επιλογή γλώσσας	Selecionar idioma	Dil seç	Изберете език	Nyelv kiválasztása	Seleccionar idioma	Seleziona la lingua	Изаберите језик	Selecteaza limba
registering_label	Signing up…	Anmelden…	Zarejestrować...	входить...	Aanmelden...	Inscription en cours…	Registrování…	Реєстрація...	Prijava…	Εγγραφή σε εξέλιξη...	A registar...	Kaydoluyor...	Регистриране...	Regisztráció folyamatban...	Registrándose...	Registrazione in corso…	Регистрација…	Înscrierea…
invalid_email	Invalid Email	Ungültige E-Mail	Niepoprawny adres e-mail	Недействительный адрес электронной почты	Ongeldige e-mail	Adresse e-mail non valide	Neplatný e-mail	Недійсна ел. пошта	Nevažeća e-pošta	Μη έγκυρο email	E-mail inválido	Geçersiz e-posta	Невалиден имейл	Érvénytelen e-mail	Correo electrónico no válido	Indirizzo e-mail non valido	Неважећа адреса е-поште	E-mail invalid
login_label	Login	Login	Logowanie	Вход в систему	Login	Connexion	Přihlášení	Вхід	Prijava	Σύνδεση	Iniciar sessão	Giriş	Вход	Bejelentkezés	Iniciar sesión	Accesso	Пријави се	Log in
different_role	This email can not be assigned to a Wallet driver account, as it is already in use with a different role.	Diese E-Mail kann nicht in einem Wallet Fahrer-Account verwendet werden, da sie bereits einem Benutzer mit anderer Rolle zugeordnet ist.	Ten adres e-mail nie może zostać użyty na koncie kierowcy w aplikacji Wallet, ponieważ jest on już przypisany innemu użytkownikowi o innej roli.	Данный адрес электронной почты нельзя использовать в учетной записи приложения Wallet, так он уже закреплен за другим пользователем.	Dit e-mailadres kan niet in een wallet bestuurdersaccount worden gebruikt, omdat deze al aan een gebruiker met een andere rol is toegewezen.	Cette adresse e-mail ne peut pas être attribuée à un compte de chauffeur Wallet car elle est déjà utilisée avec un autre rôle.	Tento e-mail nelze přiřadit k účtu řidiče v aplikaci Wallet, protože ho již používá jiná role.	Неможливо призначити цю електронну пошту обліковому запису водія Wallet, оскільки вона вже використовується для іншої ролі.	Ova e-pošta ne može se dodijeliti vozačevu računu Wallet jer se već upotrebljava u drugoj ulozi.	Αυτό το email δεν μπορεί να εκχωρηθεί σε έναν λογαριασμό οδηγού Wallet, καθώς χρησιμοποιείται ήδη με έναν διαφορετικό ρόλο.	Este e-mail não pode ser atribuído a uma conta de motorista da Wallet, pois já está a ser usado com outra função.	Farklı bir rolle kullanımda olduğu için bu e-posta bir Wallet sürücü hesabına atanamaz.	Този имейл не може да се използва в акаунт на водач в Wallet, тъй като той вече се използва с друга роля.	Ez az e-mail-cím nem rendelhető hozzá Wallet járművezetői fiókhoz, mert más szerepkörben már használatban van.	Este correo electrónico no puede asignarse a una cuenta de conductor de la aplicación Wallet, puesto que ya está en uso con un rol diferente.	Questo indirizzo e-mail non può essere assegnato a un account conducente di Wallet poiché è già in uso con un ruolo diverso.	Ова адреса е-поште се не може користити за налог возача у апликацији Wallet јер је већ додељена другом кориснику са другом улогом.	Acest e -mail nu poate fi atribuit unui cont de șofer de portofel, deoarece este deja utilizat cu un rol diferit.
email_exists	Email is already associated with an account.	E-Mail wird bereits in einem anderen Account verwendet.	Ten adres e-mail jest już w użyciu na innym koncie.	Адрес уже используется в другой учетной записи.	E-mailadres wordt al in een ander account gebruikt.	L'adresse e-mail est déjà associée à un compte.	E-mail je již přiřazen k jinému účtu.	Електронна пошта вже прив'язана до облікового запису.	E-pošta je već povezana s računom.	To email είναι ήδη συσχετισμένο με έναν λογαριασμό.	O e-mail já está associado a uma conta.	E-posta zaten bir hesapla ilişkilendirilmiş.	Имейлът вече е свързан с друг акаунт.	Az e-mail-cím már hozzá van rendelve egy fiókhoz.	El correo electrónico ya está asociado a una cuenta.	L’indirizzo e-mail è già associato a un account.	Адреса е-поште је већ повезана са налогом.	E -mailul este deja asociat cu un cont.
error_occurred	Sorry, an error occurred	Es tut uns leid. Ein Fehler ist aufgetreten.	Przykro nam. Wystąpił błąd.	Нам очень жаль. Возникла ошибка.	Het spijt ons. Er is een fout opgetreden.	Oups, une erreur est survenue	Omlouváme se, došlo k chybě	Вибачте, виникла помилка	Došlo je do pogreške	Λυπούμαστε, παρουσιάστηκε ένα σφάλμα	Ocorreu um erro.	Üzgünüz, bir hata oluştu	Съжаляваме, възникна грешка	Elnézést kérünk, hiba történt	Lo sentimos, se ha producido un error	Spiacenti, si è verificato un errore	Жао нам је, дошло је до грешке	Scuze, a aparut o eroare
